Symbol,dbsym,sector,cik,px_12m,px_ytd,px_q1,eps_ttm,eps_q
CTAS,CTAS,Industrials,723254,-19.149647730313024,-3.5968736707784,-10.096767333049772,,9.734513274336292
CSCO,CSCO,Information Technology,858877,63.08248914616499,46.28415655221654,0.6944895177516619,2.962962962962949,37.096774193548384
C,C,Financials,831001,62.300689975068146,19.926309926738362,-2.88333833169101,,
CFG,CFG,Financials,759944,53.95792669702884,21.527005050072745,2.653428057861862,33.96825396825396,46.753246753246735
CLX,CLX,Consumer Staples,21076,-21.272462360369115,-3.54539594386869,2.771855010660973,57.69230769230768,2.6666666666666687
CME,CME,Financials,1156375,-14.064712931691915,-13.350421091175402,8.128890516294396,17.907444668008022,21.37404580152672
CMS,CMS,Utilities,811156,10.791161796151094,11.155606407322649,10.96252860411897,7.100591715976325,8.910891089108919
KO,KO,Consumer Staples,21344,16.95033482142856,19.877019877019862,8.765908765908748,27.710843373493972,18.181818181818183
CTSH,CTSH,Information Technology,1058290,-47.79338637493784,-49.400566299174656,-26.09795770829568,-2.947368421052644,3.731343283582076
COHR,COHR,Information Technology,820318,380.8591045465036,80.60024920093178,29.56823229860772,,
COIN,COIN,Financials,1679788,-50.634192818436254,-26.526632987680575,-22.60037224142515,-48.872180451127825,-720.8333333333334
CL,CL,Consumer Staples,21665,3.335868738454839,20.341664030370122,7.820310028471988,-26.91218130311614,-5.882352941176463
CMCSA,CMCSA,Communication Services,1166691,-34.599504541701066,-20.5218263923733,-4.064224786753634,25.615763546798032,-32.58426966292135
FIX,FIX,Industrials,1035983,233.56493904776508,86.58864776772315,47.83098168718103,107.92316926770708,121.26315789473682
COP,COP,Energy,1163165,13.850837138508364,11.886318713606503,41.00112185479994,-25.221799746514588,-20.179372197309416
ED,ED,Utilities,1047862,13.079289471072752,14.753272910372605,13.95770392749245,9.611829944547127,12.888888888888891
STZ,STZ,Consumer Staples,16918,-17.453638303627784,-0.4350348027842177,8.755075406032486,,
CEG,CEG,Utilities,1868275,-22.194797180994453,-32.19269197022445,-20.953270498995224,21.285563751317166,1081.578947368421
COO,COO,Health Care,711404,1.8953440461475068,-9.469188529591221,-12.708968883465532,-47.44897959183672,-190.9090909090909
CPRT,CPRT,Industrials,900075,-39.542615353616775,-23.37844739530133,-15.270684371807963,11.888111888111917,2.380952380952383
GLW,GLW,Information Technology,24741,275.85092222856053,125.71656960146171,55.464200068516625,300.0,138.88888888888889
