Symbol,dbsym,sector,cik,yoy_price,yoy_eps
HOOD,HOOD,Financials,1783879,21.773142112125154,2.7027027027027053
ROK,ROK,Industrials,1024478,39.33075400927375,39.639639639639626
ROL,ROL,Industrials,84839,-23.4375,0.0
ROP,ROP,Information Technology,882835,-36.37046351601524,59.150326797385624
ROST,ROST,Consumer Discretionary,745732,64.14833051238655,37.41496598639456
RCL,RCL,Consumer Discretionary,884887,-5.933870660658746,28.888888888888882
SPGI,SPGI,Financials,64040,-16.90603976113084,32.4858757062147
CRM,CRM,Information Technology,1108524,-39.03129712037071,52.201257861635206
SBAC,SBAC,Real Estate,1034054,-22.642418655324846,-14.70588235294118
SLB,SLB,Energy,87347,28.214234976559172,-13.793103448275856
STX,STX,Information Technology,1137789,469.00282544276746,108.28025477707006
SRE,SRE,Utilities,1032208,22.094625631603137,13.669064748201452
NOW,NOW,Information Technology,1373715,-47.819768878695925,2.2727272727272747
SHW,SHW,Materials,89800,-0.9091420851159548,7.499999999999996
SPG,SPG,Real Estate,1063761,37.4284670644101,16.535433070866137
SWKS,SWKS,Information Technology,4127,-18.853734439834035,-44.18604651162791
SW,SW,Materials,2005951,0.2072651903567202,-83.56164383561644
SNA,SNA,Industrials,91440,29.678799509233333,3.991130820399127
SOLV,SOLV,Health Care,1964738,0.4363449691991761,-91.02564102564101
SO,SO,Utilities,92122,6.156514199002805,-0.8264462809917362
SWK,SWK,Industrials,93556,30.57962778803809,-35.0
SBUX,SBUX,Consumer Discretionary,829224,9.846688794057211,32.35294117647059
STT,STT,Financials,93751,59.55119214586253,22.05882352941177
STLD,STLD,Materials,1022671,69.3442434020975,93.05555555555554
SYK,SYK,Health Care,310764,-17.702951332005956,14.201183431952662
SMCI,SMCI,Information Technology,1375365,15.45473818104728,323.5294117647058
SYF,SYF,Financials,1601712,11.875091628793456,20.10582010582011
SNPS,SNPS,Information Technology,883241,11.694068651873435,-95.92760180995475
SYY,SYY,Consumer Staples,96021,9.661367455085944,-13.414634146341461
TMUS,TMUS,Communication Services,1283699,-26.649000041406147,-12.015503875968994
TROW,TROW,Financials,1113169,20.143884892086316,3.720930232558143
TPR,TPR,Consumer Discretionary,1116132,65.84972960533887,73.68421052631578
TRGP,TRGP,Energy,1389170,50.57568180496599,142.85714285714283
TGT,TGT,Consumer Staples,27419,25.353739532197505,-24.66960352422908
TEL,TEL,Information Technology,1385157,15.938454310547323,7150.0
TDY,TDY,Information Technology,1094285,27.434744354286835,21.553884711779432
TER,TER,Information Technology,97210,301.5123490371015,314.75409836065575
TSLA,TSLA,Consumer Discretionary,1318605,31.230610134436397,8.333333333333341
TXN,TXN,Information Technology,97476,39.67122767008744,31.249999999999993
TPL,TPL,Energy,1811074,14.431454106008657,18.285714285714278
TXT,TXT,Industrials,217346,14.18251420103729,10.619469026548684
TMO,TMO,Health Care,97745,24.199710495716744,11.306532663316576
TJX,TJX,Consumer Discretionary,109198,23.092289252896524,29.34782608695651
TKO,TKO,Communication Services,1973266,10.68724022091898,62.31884057971018
TTD,TTD,Communication Services,1671933,-74.0302164148632,-20.000000000000004
TSCO,TSCO,Consumer Discretionary,916365,-41.27218934911242,-8.823529411764714
TT,TT,Industrials,1466258,10.111492478864804,-1.872659176029956
TDG,TDG,Industrials,1260221,-10.777081515560138,11.650485436893192
TRV,TRV,Financials,86312,28.16969969295291,357.64705882352945
TRMB,TRMB,Information Technology,864749,-30.632927945599576,55.555555555555536
TFC,TFC,Financials,92230,15.316742081447954,25.287356321839088
TYL,TYL,Information Technology,860731,-46.11108286300233,2.1739130434782505
TSN,TSN,Consumer Staples,100493,2.702231520223153,3550.0
USB,USB,Financials,36104,32.73822327382232,14.563106796116495
UBER,UBER,Industrials,1543151,-19.265607202907198,-84.33734939759036
UDR,UDR,Real Estate,74208,0.5136986301369939,147.82608695652172
ULTA,ULTA,Consumer Discretionary,1403568,-2.5792686791017982,15.522388059701491
UNP,UNP,Industrials,100885,19.81788852570361,6.296296296296293
UAL,UAL,Industrials,100517,66.51886085435923,84.48275862068968
UPS,UPS,Industrials,1090727,5.915007656967841,-27.142857142857135
URI,URI,Industrials,1067701,41.88065099457505,6.573957016434886
UNH,UNH,Health Care,731766,30.090664052928197,0.7299270072992805
UHS,UHS,Health Care,352915,-16.23809523809524,17.708333333333346
VEEV,VEEV,Health Care,1393052,-31.887822721730373,14.598540145985398
